,id,listing_url,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,availability_30,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,reviews_per_month,BezirkeNbr,Zip
10715,36273482,https://www.airbnb.com/rooms/36273482,Margareten,48.188759999999995,16.34903,Private room,1,1.0,2.0,30.0,0,4,100.0,f,flexible,0.89,5.,1050 Wien
10716,36275077,https://www.airbnb.com/rooms/36275077,Mariahilf,48.19954,16.35823,Entire home/apt,4,1.0,2.0,100.0,6,36,96.0,t,strict_14_with_grace_period,7.88,6.,1060 Wien
10717,36283576,https://www.airbnb.com/rooms/36283576,Ottakring,48.2066,16.30862,Private room,5,1.0,3.0,89.0,23,5,96.0,t,flexible,1.16,16.,1160 Wien
10718,36284119,https://www.airbnb.com/rooms/36284119,Neubau,48.20205,16.34455,Private room,2,1.0,1.0,36.0,8,20,98.0,f,strict_14_with_grace_period,4.55,7.,1070 Wien
10719,36286397,https://www.airbnb.com/rooms/36286397,Rudolfsheim-Fünfhaus,48.19951,16.322429999999997,Private room,2,1.0,1.0,42.0,13,4,100.0,t,flexible,1.25,15.,1150 Wien
10720,36292034,https://www.airbnb.com/rooms/36292034,Meidling,48.179990000000004,16.322979999999998,Entire home/apt,3,1.0,1.0,50.0,0,3,93.0,f,flexible,0.68,12.,1120 Wien
10722,36294260,https://www.airbnb.com/rooms/36294260,Meidling,48.177820000000004,16.3401,Entire home/apt,6,2.0,4.0,79.0,17,12,98.0,t,strict_14_with_grace_period,3.71,12.,1120 Wien
10724,36295254,https://www.airbnb.com/rooms/36295254,Neubau,48.207240000000006,16.340629999999997,Private room,1,1.0,1.0,22.0,0,3,100.0,t,flexible,0.77,7.,1070 Wien
10725,36297080,https://www.airbnb.com/rooms/36297080,Neubau,48.20345,16.35784,Private room,4,1.0,3.0,80.0,0,9,96.0,t,flexible,3.42,7.,1070 Wien
10726,36297365,https://www.airbnb.com/rooms/36297365,Mariahilf,48.19064,16.34084,Entire home/apt,2,1.0,2.0,40.0,14,16,99.0,t,moderate,3.61,6.,1060 Wien
10729,36301378,https://www.airbnb.com/rooms/36301378,Innere Stadt,48.21275,16.372410000000002,Entire home/apt,2,1.0,1.0,80.0,7,11,95.0,f,moderate,3.14,1.,1010 Wien
10730,36304696,https://www.airbnb.com/rooms/36304696,Favoriten,48.17818,16.376170000000002,Private room,1,1.0,1.0,20.0,7,25,86.0,t,strict_14_with_grace_period,6.05,10.,1100 Wien
10731,36305689,https://www.airbnb.com/rooms/36305689,Landstraße,48.211490000000005,16.39234,Entire home/apt,6,3.0,3.0,125.0,0,23,90.0,t,moderate,5.0,3.,1030 Wien
10732,36305959,https://www.airbnb.com/rooms/36305959,Rudolfsheim-Fünfhaus,48.18762,16.33289,Entire home/apt,4,1.0,2.0,70.0,0,3,93.0,f,flexible,1.27,15.,1150 Wien
10733,36309673,https://www.airbnb.com/rooms/36309673,Leopoldstadt,48.2179,16.409779999999998,Entire home/apt,4,1.0,2.0,75.0,0,4,93.0,f,strict_14_with_grace_period,0.92,2.,1020 Wien
10734,36311221,https://www.airbnb.com/rooms/36311221,Landstraße,48.19412,16.41015,Entire home/apt,8,2.0,4.0,250.0,22,12,98.0,t,strict_14_with_grace_period,2.77,3.,1030 Wien
10735,36312768,https://www.airbnb.com/rooms/36312768,Margareten,48.187709999999996,16.34306,Shared room,2,1.0,6.0,70.0,17,4,75.0,f,flexible,1.52,5.,1050 Wien
10737,36313804,https://www.airbnb.com/rooms/36313804,Donaustadt,48.24535,16.43778,Entire home/apt,6,2.0,5.0,86.0,14,25,98.0,f,flexible,6.82,22.,1220 Wien
10738,36313953,https://www.airbnb.com/rooms/36313953,Landstraße,48.19699,16.407420000000002,Entire home/apt,3,1.0,1.0,25.0,0,3,100.0,t,strict_14_with_grace_period,0.74,3.,1030 Wien
10739,36314816,https://www.airbnb.com/rooms/36314816,Ottakring,48.20686,16.308239999999998,Entire home/apt,5,1.0,2.0,134.0,23,14,71.0,t,strict_14_with_grace_period,3.72,16.,1160 Wien
10740,36316936,https://www.airbnb.com/rooms/36316936,Margareten,48.18674,16.34565,Private room,2,1.0,1.0,37.0,0,4,100.0,f,flexible,1.03,5.,1050 Wien
10741,36322396,https://www.airbnb.com/rooms/36322396,Hernals,48.2161,16.340239999999998,Private room,2,2.0,3.0,25.0,4,10,88.0,f,moderate,2.17,17.,1170 Wien
